category_code,category_description,category_status
ADD,ADDITIVES,ACTIVE
ACN,AIRCON,INACTIVE
ASB,ASSORTED BEEF,INACTIVE
ASP,ASSORTED PARTS,INACTIVE
BBN,BACKBONE,INACTIVE
BCN,BACON,INACTIVE
BAG,BAG,INACTIVE
BMR,BAIN MARIE,INACTIVE
BKI,BAKING INGREDIENTS,ACTIVE
BLY,BELLYS,INACTIVE
BIB,BIBLE,INACTIVE
BIN,BIN,INACTIVE
BIS,BISCUIT/CRACKER,ACTIVE
BLN,BLENDER,INACTIVE
BOA,BOARD,INACTIVE
BLR,BOILER,INACTIVE
BNM,BONE MARROW,INACTIVE
BNE,BONES,INACTIVE
BTL,BOTTLE,INACTIVE
BWL,BOWL,INACTIVE
BRD,BREAD,ACTIVE
BRS,BREAST,INACTIVE
BKT,BRISKET,INACTIVE
BBB,BRISKET BONE,INACTIVE
BSH,BRUSH,INACTIVE
BRR,BURNER,INACTIVE
BTT,BUTT,INACTIVE
BUB,BUTTON BONES,INACTIVE
CBN,CABINET,INACTIVE
CAO,CAN OPENER,INACTIVE
CND,CANDIES,INACTIVE
CDL,CANDLE,INACTIVE
CNS,CANISTER,INACTIVE
CRL,CEREAL,INACTIVE
CHA,CHAIR,INACTIVE
CHK,CHEEK,INACTIVE
CHS,CHEESE,INACTIVE
CHL,CHILLER,INACTIVE
CHP,CHIPS,ACTIVE
CHC,CHOCOLATE,ACTIVE
CPS,CHOPSTICK,INACTIVE
CHR,CHORIZO,INACTIVE
CEY,CHUCK EYE ROLL,INACTIVE
CLD,CLADDING,INACTIVE
CNR,CLEANER,INACTIVE
CLC,CLEANING CHEMICALS,ACTIVE
CLS,CLEANING SUPPLIES,ACTIVE
CTH,CLOTH,INACTIVE
CTR,COASTER,INACTIVE
COF,COFFEE,ACTIVE
CFM,COFFEE MACHINE,INACTIVE
CDM,CONDIMENT,ACTIVE
CNP,CONDIMENT - PASTE,INACTIVE
CNE,CONES,ACTIVE
CNF,CONFIT,INACTIVE
CTN,CONTAINER,INACTIVE
CKR,COOKER,INACTIVE
CKW,COOKING WINE,INACTIVE
CPA,COPPA,INACTIVE
COB,CORNED BEEF,INACTIVE
CRB,CRAB,INACTIVE
CBL,CRABLETS,INACTIVE
CRT,CRATE,INACTIVE
CUP,CUP,INACTIVE
CUR,CUTTER,INACTIVE
DRY,DAIRY,ACTIVE
DLC,DELICACIES,ACTIVE
DSR,DESSERT,ACTIVE
DSM,DISHWASHING MACHINE,INACTIVE
DMP,DUMPLINGS,INACTIVE
EAR,EARS,INACTIVE
EEL,EEL,INACTIVE
EGG,EGG,INACTIVE
EXH,EXHAUST HOOD,INACTIVE
FAN,FAN,INACTIVE
FAT,FAT,INACTIVE
FCT,FAUCET,INACTIVE
FEE,FEET,INACTIVE
FLG,FILLING,INACTIVE
FLT,FILTER,INACTIVE
FSH,FISH,INACTIVE
FLK,FLANK,INACTIVE
FLS,FLOSS,INACTIVE
FLR,FLOUR,ACTIVE
FLW,FLOWER,ACTIVE
FOP,FOOD PROCESSOR,INACTIVE
FRS,FORESHANK,INACTIVE
FRK,FORK,INACTIVE
FRF,FRENCH FRIES,ACTIVE
FRU,FRUIT,ACTIVE
FRY,FRYER,INACTIVE
FNL,FUNNEL,INACTIVE
GFC,GIFT CERTIFICATE,INACTIVE
GZR,GIZZARD,INACTIVE
GLS,GLASS,INACTIVE
GLV,GLOVES,INACTIVE
GRA,GRAIN,ACTIVE
GRT,GRATER,INACTIVE
GST,GREASE TRAP,INACTIVE
GRD,GRIDDLE,INACTIVE
GRL,GRILLER,INACTIVE
GRN,GRINDER,INACTIVE
GRO,GROUND,INACTIVE
GRB,GROUND BEEF,INACTIVE
GRP,GROUND PORK,INACTIVE
HAM,HAM,INACTIVE
HGT,HANGING TENDER,INACTIVE
HDB,HEADBONE,INACTIVE
HRT,HEART,INACTIVE
HTR,HEATER,INACTIVE
HRB,HERBS,ACTIVE
HCK,HOCK,INACTIVE
HDR,HOLDER,INACTIVE
HGB,HONG BA,INACTIVE
HTD,HOTDOG,INACTIVE
INT,INTESTINE,INACTIVE
JCE,JUICE,INACTIVE
JCR,JUICER,INACTIVE
KLT,KALITIRAN,INACTIVE
KRG,KARAAGE,INACTIVE
KTL,KETTLE,INACTIVE
KDN,KIDNEY,INACTIVE
KNF,KNIFE,INACTIVE
LDL,LADLE,INACTIVE
LRD,LARD,INACTIVE
LEG,LEG,INACTIVE
LGB,LEGBONE,INACTIVE
LGS,LEGS,INACTIVE
LID,LID,INACTIVE
LIG,LIGHT,INACTIVE
LHT,LIGHTS,INACTIVE
LQU,LIQUER,INACTIVE
LIQ,LIQUOR,INACTIVE
LVR,LIVER,INACTIVE
LOI,LOIN,INACTIVE
LUN,LUNGS,INACTIVE
MKI,MAKI,INACTIVE
